Tarih,NoktaAdi,HealthFactor,FailFast,E.coli_score,Koliform Bakteri_score,C.Perfringens_score,Arsenik_score,Nitrit_score,Alüminyum_score,Demir_score,Amonyum_score,pH_score,Klorür_score,İletkenlik_score,Oksitlenebilirlik_score,Bulanıklık_score,Tat_score,Koku_score,Renk_score,Toplam Sertlik_score,Tuzluluk_score,RiskClass
2024-11-27,Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme,90.16201809854526,False,1.0,1.0,1.0,0.882,0.87,0.78465,0.18099999999999994,0.94,0.8,0.8200000000000001,0.8468,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,Eski Izmir Cad. 3959 Kvs Uzundere,90.1351485705031,False,1.0,1.0,1.0,0.91,0.87,0.95495,0.88185,0.94,0.72,0.84,0.8412,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli,89.3093655029676,False,1.0,1.0,1.0,0.5469999999999999,0.87,0.93125,0.8338,0.94,0.72,0.884,0.8059999999999999,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,Hakan Uysal Cad. No:273/1 Çay Mahallesi,89.49286755599378,False,1.0,1.0,1.0,0.63,0.87,0.96985,0.6679999999999999,0.94,0.8,0.896,0.7488,0.88,,1.0,1.0,1.0,,,Good
2024-11-27,Hürriyet Bulvarı No:14/e,89.63074157830556,False,1.0,1.0,1.0,0.774,0.87,0.94445,0.7537,0.94,0.72,0.84,0.8416,0.88,,1.0,1.0,1.0,,,Good
2024-11-27,I.sivri Cd. İle 254 Sok.. Kvs. Kozağaç,90.17420273752703,False,1.0,1.0,1.0,0.885,0.87,0.79995,0.2134999999999999,0.94,0.8,0.8200000000000001,0.8456,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,Kahramanlar Cd. No:2 H. Bayram Camii,90.05562930492441,False,1.0,1.0,1.0,0.915,0.87,0.97535,0.832,0.94,0.7600000000000001,0.8200000000000001,0.8468,0.88,,1.0,1.0,1.0,,,Good
2024-11-27,Mithatpaşa Caddesi No:479,90.03829441634038,False,1.0,1.0,1.0,0.784,0.87,0.9562,0.8418,0.94,0.8,0.864,0.832,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,Mrk. Bornova Jandarma Komando Ambarlar Yanı,90.2058816223194,False,1.0,1.0,1.0,0.875,0.87,0.8376,0.65235,0.94,0.8,0.8240000000000001,0.8496,0.92,,1.0,1.0,1.0,,,Good
2024-11-27,R.erkutlu Şehitlik Önü No:290/a Kadifekale,90.14166798851068,False,1.0,1.0,1.0,0.889,0.87,0.84065,0.6438,0.94,0.7600000000000001,0.8240000000000001,0.8496,0.92,,1.0,1.0,1.0,,,Good
